page,country,rev_id,ores_score,Geography,Population mid-2018 (millions),_merge
Jonathan Le Tocq,Guernsey,742872067,Start,,,left_only
Graham Dorey,Guernsey,742872751,Stub,,,left_only
Janet Mikhail,Palestinian Territory,742930612,Stub,,,left_only
Alan Parastaev,Ossetian,743018109,Start,,,left_only
Mulumba Lukoji,"Congo, Dem. Rep. of",743061455,Stub,,,left_only
Gerardo Barrios,Salvadoran,743252984,Start,,,left_only
Jana Juřenčáková,Czech Republic,743423675,Stub,,,left_only
Simeon Aké,Ivorian,743428650,Stub,,,left_only
Hind Khoury,Palestinian Territory,744229617,Stub,,,left_only
Tim Francis,Tokelauan,744394596,Stub,,,left_only
Jaromír Nečas,Czech Republic,744448745,Stub,,,left_only
Martial Joseph Ahipeaud,Ivorian,744522699,Stub,,,left_only
Siegfried Taub,Czech Republic,744612257,Start,,,left_only
Lovro Toman,Carniolan,744636212,Start,,,left_only
Saloum Cohen,Palestinian Territory,744680083,Stub,,,left_only
Innocent Anaky,Ivorian,744920472,C,,,left_only
Cyrille Bissette,Martinique,745174732,B,,,left_only
Asiata Sale'imoa Va'ai,Samoan,745204530,Stub,,,left_only
Michel Couriard,Jersey,745348113,Start,,,left_only
Ahmed Majdalani,Palestinian Territory,745445418,Start,,,left_only
Agapito Robleda Castro,Hondura,745838578,Start,,,left_only
David Emmanuel Jack,Saint Vincent and the Grenadines,745928420,Stub,,,left_only
César Castellanos (politician),Hondura,746117875,Stub,,,left_only
Faidi al-Alami,Palestinian Territory,746561126,Stub,,,left_only
Georges Marie Anne,Martinique,746619744,Stub,,,left_only
Záviš Kalandra,Czech Republic,746707985,Stub,,,left_only
John Thomas Eustace,Cape Colony,746923352,C,,,left_only
Gerald B. Clarke,Rhodesian,747497059,Stub,,,left_only
Moses Mathendele Dlamini,Swaziland,747579157,Start,,,left_only
Bogumil Vošnjak,Carniolan,747945423,Start,,,left_only
Boris Chochiev,South Ossetian,748071193,Stub,,,left_only
Simon Young (magistrate),Pitcairn Islands,748179514,Stub,,,left_only
Victor Mazuline,Martinique,748274199,Stub,,,left_only
Hégésippe Légitimus,Guadeloupe,748274502,C,,,left_only
